"Team","Project","Phase","Milestone","Old Date","New Date","Days Changed","Reason","Champion"
"Money Movement and Expansion","Shopify Payments expansion via Global acquiring pilot","Prototype","End Date","Nov 6, 2025","May 29, 2026","+204","Timelines working with Networks longer than initially expected. ","Kyle Kivimaki"
"Payments Merchant Experience","Role-based access control for managing payments","Prototype","End Date","Mar 30, 2026","May 4, 2026","+35","Previous end date did not include monitoring and rollout","Emilie Lam"
"Payments Platform & Risk","Enable interest free installments for buyers in Mexico through MSI","Prototype","End Date","Apr 2, 2026","Apr 16, 2026","+14","TL;DR - just continuing working towards alignment with several teams (checkout  payments platform  payments foundation). We feel 2 additional weeks will allow adequate time to address all concern.   - BIN filtering had concerns that were not anticipated (mitigated now)- `#pp-multi-direct-gateway` project introduced some tech design changes we have to accommodate -  Tech design will need likely one more round of reviews","James Di Rosa"
"Payments Platform & Risk","Payments API internal refactor to optimize performance and support future growth","Prototype","End Date","Mar 5, 2026","Apr 24, 2026","+50","Project is unpausing and resuming transition to build. Updated target end date to reflect estimate of 5 weeks of work","Owen Linton"
"Cross Border","Improve Managed Markets adoption rate","Build","Early Access","Feb 27, 2026","Mar 17, 2026","+18","Release request","Michelle Wu"
"Cross Border","Improve Managed Markets adoption rate","Build","General Availability","Mar 6, 2026","Apr 6, 2026","+31","Updating to reflect inputs from Globale  * Mar 16  Same session (applicationless) adoption  * Mar 16  Remove 50% sellability product threshold  $1000 GMV threshold from eligibility requirements * ~TBD  Default Dawn & Horizon themes to display duty-inclusive pricing on PDP during MM or adaptive pricing adoption cc @chris.alexander / @rebecca.samossanchez  * Mar 23  Default on AB test likely slipping to week of Mar 23 due to (1) Full onboarding automation (2) Scaling org creation & caching impacts / carry costs * April 6  Same-session adoption (Shopify Payments pre-screen)","Michelle Wu"
"Cross Border","Improve Managed Markets adoption rate","Build","End Date","Feb 11, 2026","Apr 10, 2026","+58","Updating to reflect inputs from Globale  * Mar 16  Same session (applicationless) adoption  * Mar 16  Remove 50% sellability product threshold  $1000 GMV threshold from eligibility requirements * ~TBD  Default Dawn & Horizon themes to display duty-inclusive pricing on PDP during MM or adaptive pricing adoption cc @chris.alexander / @rebecca.samossanchez  * Mar 23  Default on AB test likely slipping to week of Mar 23 due to (1) Full onboarding automation (2) Scaling org creation & caching impacts / carry costs * April 6  Same-session adoption (Shopify Payments pre-screen)","Michelle Wu"
"Cross Border","Launch Managed Markets in UK & Canada","Build","Early Access","Apr 13, 2026","Apr 24, 2026","+11","Given current blockers  we are evaluating release dates. We have received approval to be in EA for Editions.","Karissa Genovese"
"Cross Border","Launch Managed Markets in UK & Canada","Build","End Date","Apr 25, 2026","May 15, 2026","+20","Given current blockers  we are evaluating release dates. We have received approval to be in EA for Editions.","Karissa Genovese"
"Money Movement and Expansion","Adyen Disputes support for Shopify Payments","Build","Internal","Oct 31, 2025","Jan 12, 2026","+73","The project can be considered code-complete and it has been for a couple of weeks now. I am marking the internal preview as ""shipped"" and set today as the shipping date. We are waiting for contracts to be signed with Adyen so we can perform a full end-to-end testing of our integration with Adyen disputes.","Marcelo Mottalli"
"Money Movement and Expansion","Adyen Disputes support for Shopify Payments","Build","General Availability","Nov 24, 2025","Mar 26, 2026","+122","Disputes testing is not complete due to conflicting schedules and slow testing progress","Marcelo Mottalli"
"Money Movement and Expansion","Adyen Disputes support for Shopify Payments","Build","End Date","Nov 24, 2025","Mar 26, 2026","+122","Disputes testing is not complete due to conflicting schedules and slow testing progress","Marcelo Mottalli"
"Money Movement and Expansion","Funds Flow primitives for Adyen integration","Build","Internal","Dec 19, 2025","Mar 6, 2026","+77","release delayed due to merge queue issues & incidents. planning to go live(internal) this week","Muhammet Emre"
"Money Movement and Expansion","Funds Flow primitives for Adyen integration","Build","End Date","Dec 4, 2025","Mar 27, 2026","+113","aligning with other Adyen projects: https://shopify.slack.com/archives/C09Q9SYPG2F/p1773671278418739?thread_ts=1773671079.249699&cid=C09Q9SYPG2F","Muhammet Emre"
"Payments Merchant Experience","Adyen KYB / KYC support for Shopify Payments","Build","General Availability","Mar 15, 2026","Mar 30, 2026","+15","Moving timelines further ahead again due to deploy issues/delays in getting real Adyen accounts for testing  and implementing bug fixes.","Nabeel Chaudhry"
"Payments Merchant Experience","Adyen KYB / KYC support for Shopify Payments","Build","End Date","Mar 15, 2026","Apr 10, 2026","+26","Moving timelines further ahead again due to deploy issues/delays in getting real Adyen accounts for testing  and implementing bug fixes.","Nabeel Chaudhry"
